hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
5000.1.1.1,alpha arrays,Toxins' membrane translocation domains,Colicin,Colicin,Colicin
5105.1.1.0,a+b two layers,N-terminal domain of colicin N,N-terminal domain of colicin N,N-terminal domain of colicin N,NO_F_NAME
10.1.1.25,beta sandwiches,jelly-roll,Concanavalin A-like,Concanavalin A-like lectins/glucanases,Toxin_R_bind_N
6.1.1.13,beta duplicates or obligate multimers,beta-Trefoil,beta-Trefoil,beta-Trefoil,Toxin_R_bind_C
2485.1.1.37,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,Thioredoxin_2
2485.1.1.38,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,Thioredoxin_3
170.1.1.5,alpha bundles,Retrovirus capsid protein,Retrovirus capsid protein-C,Retrovirus capsid protein-C,Gag_p24_C
1.1.7.7,beta barrels,cradle loop barrel,RIFT-related,Alanine racemase-C,FAD_binding_6
7514.1.1.1,a/b three-layered sandwiches,"Ferredoxin reductase-like, C-terminal NADP-linked domain","Ferredoxin reductase-like, C-terminal NADP-linked domain","Ferredoxin reductase-like, C-terminal NADP-linked domain",NAD_binding_1
7579.1.1.6,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_1
230.1.1.2,a+b two layers,T-fold,Tetrahydrobiopterin biosynthesis enzymes-like,Tetrahydrobiopterin biosynthesis enzymes-like,GTP_cyclohydroI
2485.1.1.8,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,Calsequestrin
3156.1.1.7,beta sandwiches,Cupredoxin-like,Cupredoxin-related,Cupredoxin-related,SoxE
7523.1.1.26,a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,SBP_bac_6
7523.1.1.0,a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,NO_F_NAME
207.1.1.28,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Leucine-rich repeats,Leucine-rich repeats,LRR_9
101.1.2.40,alpha arrays,HTH,HTH,winged,CPSase_L_D3
206.1.3.10,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,ATP-grasp,CPSase_L_D2
2003.1.10.0,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,PreATP-grasp domain,NO_F_NAME
7543.1.1.2,a/b three-layered sandwiches,Methylglyoxal synthase-like,Methylglyoxal synthase-like,Methylglyoxal synthase-like,MGS
2007.1.1.1,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Class I glutamine amidotransferase-like,GATase
2487.1.1.5,a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",CPSase_sm_chain
554.1.1.1,alpha complex topology,Influenza virus matrix protein M1,Influenza virus matrix protein M1,Influenza virus matrix protein M1,Flu_M1
2485.1.1.3,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,Glutaredoxin
563.1.1.1,alpha bundles,ATPD N-terminal domain-like,N-terminal domain of the delta subunit of the F1F0-ATP synthase,N-terminal domain of the delta subunit of the F1F0-ATP synthase,OSCP
7579.1.1.5,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Peptidase_S10
5099.1.1.1,beta sandwiches,Ig-like domain in anthrax protective antigen,Ig-like domain in anthrax protective antigen,Ig-like domain in anthrax protective antigen,PA_Ig-like
5095.1.1.1,beta sandwiches,N-terminal beta-sandwich domain in anthrax protective antigen,N-terminal beta-sandwich domain in anthrax protective antigen,N-terminal beta-sandwich domain in anthrax protective antigen,PA14
5097.1.1.1,beta sandwiches,Middle beta-sandwich domain in anthrax protective antigen,Middle beta-sandwich domain in anthrax protective antigen,Middle beta-sandwich domain in anthrax protective antigen,Binary_toxB_2
5098.1.1.1,a+b two layers,beta-grasp domain in anthrax protective antigen,beta-grasp domain in anthrax protective antigen,beta-grasp domain in anthrax protective antigen,Binary_toxB_3
5096.1.1.1,few secondary structure elements,Ca-binding domain in anthrax protective antigen,Ca-binding domain in anthrax protective antigen,Ca-binding domain in anthrax protective antigen,Binary_toxB
2487.1.1.3,a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",Aconitase_C
7542.1.2.1,a/b three-layered sandwiches,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain II,Aconitase
7542.1.1.1,a/b three-layered sandwiches,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase
7542.1.1.0,a/b three-layered sandwiches,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,NO_F_NAME
898.1.1.1,a+b two layers,a+b domain in Ribosomal protein L1,a+b domain in Ribosomal protein L1,a+b domain in Ribosomal protein L1,Ribosomal_L1
2007.25.1.1,a/b three-layered sandwiches,Flavodoxin-like,Rossmann-like domain in Ribosomal protein L1,Rossmann-like domain in Ribosomal protein L1,Ribosomal_L1
7524.1.1.1,a/b three-layered sandwiches,ALDH-like,ALDH-like,ALDH-like,Aldedh
510.1.1.1,alpha bundles,"Domain of early E2A DNA-binding protein, ADDBP","Domain of early E2A DNA-binding protein, ADDBP","Domain of early E2A DNA-binding protein, ADDBP",Viral_DNA_bi
375.7.1.1,few secondary structure elements,Rubredoxin-like,Zn-binding domains of ADDBP,Zn-binding domains of ADDBP,Viral_DNA_Zn_bi
601.20.1.0,alpha bundles,Four-helical up-and-down bundle,Apolipophorin-III,Apolipophorin-III,NO_F_NAME
518.1.1.1,alpha arrays,"Chemotaxis receptor methyltransferase CheR, N-terminal domain","Chemotaxis receptor methyltransferase CheR, N-terminal domain","Chemotaxis receptor methyltransferase CheR, N-terminal domain",CheR_N
2003.1.5.16,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,S-adenosyl-L-methionine-dependent methyltransferases,CheR
2.11.1.1,beta barrels,OB-fold,Antifungal protein (AGAFP),Antifungal protein (AGAFP),Antifungal_prot
150.1.2.6,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,Ferritin/Heme oxygenase,Heme oxygenase/Ribonucleotide reductase,FA_desaturase_2
7581.1.1.1,a/b three-layered sandwiches,Thiolase-like,Thiolase-like,Thiolase-like,Thiolase_N
387.1.1.3,few secondary structure elements,omega toxin-like,omega toxin-related,omega toxin-related,Toxin_9
372.1.1.1,a+b complex topology,RNase A-like,RNase A-like,RNase A-like,RnaseA
1.1.5.33,beta barrels,cradle loop barrel,RIFT-related,FMN-binding split barrel,Trypsin_2
385.1.1.2,few secondary structure elements,Cystine-knot cytokines,Cystine-knot cytokines,Cystine-knot cytokines,TGF_beta
196.1.1.1,alpha bundles,"Regulator of G-protein signaling, RGS","Regulator of G-protein signaling, RGS","Regulator of G-protein signaling, RGS",RGS
387.1.5.2,few secondary structure elements,omega toxin-like,omega toxin-related,Scorpion toxin-like,Toxin_2
177.1.1.1,alpha bundles,Phospholipase C/P1 nuclease,Phospholipase C/P1 nuclease,Phospholipase C/P1 nuclease,Zn_dep_PLPC
383.1.1.2,few secondary structure elements,Defensin-like,Defensin-related,Defensin-related,Toxin_4
387.1.5.3,few secondary structure elements,omega toxin-like,omega toxin-related,Scorpion toxin-like,Toxin_3
10.5.1.2,beta sandwiches,jelly-roll,Viral protein domain,Viral protein domain,Orbi_VP7
567.1.1.1,alpha duplicates or obligate multimers,p53 tetramerization domain,p53 tetramerization domain,p53 tetramerization domain,P53_tetramer
616.1.1.3,alpha arrays,S15/NS1 RNA-binding domain,S15/NS1 RNA-binding domain,S15/NS1 RNA-binding domain,Flu_NS1
331.1.1.1,a+b two layers,TBP-like,TATA-box binding protein-like,TATA-box binding protein-like,TBP
101.1.10.3,alpha arrays,HTH,HTH,Cyclin-like,TFIIB
64.3.1.3,beta meanders,WW domain-like,Carbohydrate binding domain,Carbohydrate binding domain,CBM_5_12_2
10.1.1.11,beta sandwiches,jelly-roll,Concanavalin A-like,Concanavalin A-like lectins/glucanases,Glyco_hydro_16
3016.1.1.1,a+b two layers,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,Aminotran_1_2
7577.1.1.1,a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2
177.1.1.2,alpha bundles,Phospholipase C/P1 nuclease,Phospholipase C/P1 nuclease,Phospholipase C/P1 nuclease,S1-P1_nuclease
246.3.1.1,a+b four layers,Carbon-nitrogen hydrolase-like,DNase I-like,DNase I-like,Exo_endo_phos
11.1.1.20,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Neocarzinostat
375.1.1.32,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Rubredoxin-related,ADK_lid
3657.1.1.1,a+b complex topology,Scaffolding protein GPB,Scaffolding protein GPB,Scaffolding protein GPB,Phage_B
10.2.1.23,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Pico_P1A
7523.1.1.15,a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,LysR_substrate
106.1.1.2,alpha arrays,Globin-like,Globin-like,Globin-like,Phycobilisome
2492.1.1.1,a+b three layers,Cytidine deaminase-like,Cytidine deaminase-like,Cytidine deaminase-like,dCMP_cyt_deam_1
2492.1.1.15,a+b three layers,Cytidine deaminase-like,Cytidine deaminase-like,Cytidine deaminase-like,dCMP_cyt_deam_2
4019.1.1.6,alpha complex topology,alpha-helical domain in beta-lactamase/transpeptidase-like proteins,alpha-helical domain in beta-lactamase/transpeptidase-like proteins,alpha-helical domain in beta-lactamase/transpeptidase-like proteins,Beta-lactamase2
223.3.1.0,a+b three layers,Profilin-like,a+b domain in beta-lactamase/transpeptidase-like proteins,a+b domain in beta-lactamase/transpeptidase-like proteins,NO_F_NAME
150.3.1.3,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,4-helical cytokines,4-helical cytokines,IL6
108.1.1.0,alpha arrays,EF-hand,EF-hand-related,EF-hand,NO_F_NAME
10.3.1.1,beta sandwiches,jelly-roll,TNF-like,TNF-like,TNF
69.1.1.4,beta complex topology,Hedgehog/intein,Hedgehog/intein,Hint,Intein_splicing
235.1.1.0,a+b complex topology,Lysozyme-like,Lysozyme-like,Lysozyme-like,NO_F_NAME
7523.1.1.30,a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,SBP_bac_11
4011.1.1.1,beta barrels,beta-barrel domain in acetyl-CoA synthetase-like proteins,beta-barrel domain in acetyl-CoA synthetase-like proteins,beta-barrel domain in acetyl-CoA synthetase-like proteins,AMP-binding
327.5.1.2,a+b two layers,Alpha-lytic protease prodomain-like,a+b domain in acetyl-CoA synthetase-like proteins,a+b domain in acetyl-CoA synthetase-like proteins,AMP-binding_C
7584.1.1.1,a/b three-layered sandwiches,Rossmann-like domain in Acetyl-CoA synthetase-like proteins,Rossmann-like domain in Acetyl-CoA synthetase-like proteins,Rossmann-like domain in Acetyl-CoA synthetase-like proteins,AMP-binding
11.1.5.22,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,Collagen_bind
2.2.1.1,beta barrels,OB-fold,Bacterial enterotoxins,Bacterial enterotoxins,Stap_Strp_toxin
4108.1.1.1,few secondary structure elements,Neurotoxin III (ATX III),Neurotoxin III (ATX III),Neurotoxin III (ATX III),ATX_III
193.1.1.1,alpha bundles,CH domain-like,Calponin-homology domain-like,Calponin-homology domain-like,CH
385.1.1.7,few secondary structure elements,Cystine-knot cytokines,Cystine-knot cytokines,Cystine-knot cytokines,Coagulin
7501.1.1.1,a/b three-layered sandwiches,Dihydrofolate reductases,Dihydrofolate reductases,Dihydrofolate reductases,DHFR_1
11.1.5.9,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,Cohesin
712.1.1.1,beta sandwiches,"ENV polyprotein, receptor-binding domain","ENV polyprotein, receptor-binding domain","ENV polyprotein, receptor-binding domain",TLV_coat
304.37.1.1,a+b two layers,Alpha-beta plaits,"Sulfite reductase, domains 1 and 3","Sulfite reductase, domains 1 and 3",NIR_SIR_ferr
296.1.1.1,a+b three layers,"Sulfite reductase hemoprotein (SiRHP), domains 2 and 4","Sulfite reductase hemoprotein (SiRHP), domains 2 and 4","Sulfite reductase hemoprotein (SiRHP), domains 2 and 4",NIR_SIR
296.1.1.0,a+b three layers,"Sulfite reductase hemoprotein (SiRHP), domains 2 and 4","Sulfite reductase hemoprotein (SiRHP), domains 2 and 4","Sulfite reductase hemoprotein (SiRHP), domains 2 and 4",NO_F_NAME
169.1.1.1,alpha complex topology,Aldehyde ferredoxin oxidoreductase-C,Aldehyde ferredoxin oxidoreductase-C,Aldehyde ferredoxin oxidoreductase-C,AFOR_C
101.1.2.20,alpha arrays,HTH,HTH,winged,Arg_repressor
3156.1.1.9,beta sandwiches,Cupredoxin-like,Cupredoxin-related,Cupredoxin-related,Cu-oxidase_3
3156.1.1.4,beta sandwiches,Cupredoxin-like,Cupredoxin-related,Cupredoxin-related,Cu-oxidase
3156.1.1.8,beta sandwiches,Cupredoxin-like,Cupredoxin-related,Cupredoxin-related,Cu-oxidase_2
317.1.1.1,a+b two layers,Translation initiation factor eIF4e and phosphothreonine lyase,Translation initiation factor eIF4e and phosphothreonine lyase,Translation initiation factor eIF4e and phosphothreonine lyase,IF4E
370.1.1.1,few secondary structure elements,TB module/8-cys domain,TB module/8-cys domain,TB module/8-cys domain,TB
304.110.1.1,a+b two layers,Alpha-beta plaits,Acylphosphatase-like,Acylphosphatase-like,Acylphosphatase
210.1.4.1,a+b four layers,Ntn/PP2C,Ntn,(Glycosyl)asparaginase,Asparaginase_2
220.1.1.5,beta barrels,PH domain-like,PH domain-like,PH domain-like,PID
139.1.1.1,few secondary structure elements,Multiheme cytochromes,Cytochrome c3-like,Cytochrome c3-like,Cytochrom_CIII
56.1.1.1,beta sandwiches,Epsilon subunit of F1F0-ATP synthase-N,Epsilon subunit of F1F0-ATP synthase-N,Epsilon subunit of F1F0-ATP synthase-N,ATP-synt_DE_N
192.6.1.1,alpha bundles,Long alpha-hairpin,Epsilon subunit of F1F0-ATP synthase C-terminal domain,Epsilon subunit of F1F0-ATP synthase C-terminal domain,ATP-synt_DE
4.1.1.92,beta barrels,SH3,SH3,SH3,SH3_9
4059.1.1.1,a+b complex topology,Serpins,Serpins,Serpins,Serpin
2498.1.1.2,mixed a+b and a/b,Zincin-like,"Metalloproteases (""zincins"") catalytic domain","Metalloproteases (""zincins"") catalytic domain",Astacin
69.1.1.1,beta complex topology,Hedgehog/intein,Hedgehog/intein,Hint,Hint
50.1.1.1,beta barrels,"Herpes virus serine proteinase, assemblin","Herpes virus serine proteinase, assemblin","Herpes virus serine proteinase, assemblin",Peptidase_S21
389.2.1.1,few secondary structure elements,EGF-like,Serine protease inhibitors,Serine protease inhibitors,TIL
314.1.1.2,a+b three layers,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,tRNA-synt_2b
7502.1.1.1,a/b three-layered sandwiches,Anticodon-binding domain of Class II aaRS,Anticodon-binding domain of Class II aaRS,Anticodon-binding domain of Class II aaRS,HGTP_anticodon
5041.1.1.0,extended segments,F1F0 ATP synthase subunit C,F1F0 ATP synthase subunit C,F1F0 ATP synthase subunit C,NO_F_NAME
2006.1.6.1,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,vWA-like,VWA
150.3.1.2,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,4-helical cytokines,4-helical cytokines,Interferon
103.1.1.3,alpha arrays,RuvA-C,"RuvA-C, UBA, CRAL/TRIO-N, HBS1","RuvA-C, UBA, CRAL/TRIO-N, HBS1",CRAL_TRIO_N
2496.1.1.1,a/b three-layered sandwiches,SpoIIaa-like,SpoIIaa-like,SpoIIaa-like,CRAL_TRIO
246.2.1.1,a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,Metallophos
108.1.1.1,alpha arrays,EF-hand,EF-hand-related,EF-hand,EF-hand_1
108.1.1.29,alpha arrays,EF-hand,EF-hand-related,EF-hand,EF-hand_7
7515.1.1.4,a/b three-layered sandwiches,Alkaline phosphatase-like,Alkaline phosphatase-like,Alkaline phosphatase-like,"Sulfatase,Sulfatase_C"
7579.1.1.18,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_2
389.1.1.1,few secondary structure elements,EGF-like,EGF-related,EGF/Laminin,EGF
10.2.1.15,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Tymo_coat
9.1.1.5,beta barrels,Lipocalins/Streptavidin,Lipocalins,Lipocalins,Triabin
601.15.1.1,alpha bundles,Four-helical up-and-down bundle,Proteasome activator reg(alpha),Proteasome activator reg(alpha),"PA28_N,PA28_C"
2008.1.1.50,a/b three-layered sandwiches,Restriction endonuclease-like,Restriction endonuclease-like,Restriction endonuclease-like,YqaJ
6.1.1.2,beta duplicates or obligate multimers,beta-Trefoil,beta-Trefoil,beta-Trefoil,Kunitz_legume
2002.1.1.3,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,TIM
109.1.1.1,alpha superhelices,Repetitive alpha hairpins,Glutathione S-transferase (GST)-C,Glutathione S-transferase (GST)-C,GST_C
109.3.1.1,alpha superhelices,Repetitive alpha hairpins,Ankyrin repeat,Ankyrin repeat,Ank
150.3.1.13,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,4-helical cytokines,4-helical cytokines,Leptin
387.1.1.8,few secondary structure elements,omega toxin-like,omega toxin-related,omega toxin-related,Omega-toxin
11.1.1.117,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,EpoR_lig-bind
11.1.1.2,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,fn3
2489.1.1.1,a/b three-layered sandwiches,Barstar (barnase inhibitor),Barstar (barnase inhibitor),Barstar (barnase inhibitor),Barstar
304.7.1.1,a+b two layers,Alpha-beta plaits,Protease propeptides/inhibitors,Protease propeptides/inhibitors,Propep_M14
10.2.1.1,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Rhv
11.1.5.27,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,A2M_recep
2008.1.1.10,a/b three-layered sandwiches,Restriction endonuclease-like,Restriction endonuclease-like,Restriction endonuclease-like,MutH
304.48.1.4,a+b two layers,Alpha-beta plaits,Adenylyl and guanylyl cyclase catalytic domain-like,Adenylyl and guanylyl cyclase catalytic domain-like,Guanylate_cyc
135.1.1.1,alpha arrays,"Transducin (alpha subunit), insertion domain","Transducin (alpha subunit), insertion domain","Transducin (alpha subunit), insertion domain",G-alpha
206.1.3.6,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,ATP-grasp,"DNA_ligase_aden,Nlig-Ia"
